DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'022004",1,7.1,14,3,3.1,98,1,1,18,106,17,40,40.8,0,0,0,0,3,3.1,76,77.6,50,51,0,0,6,6.1,77,78.6,0,0,9,9.2,1,1,40,40.8,48,49,0,0,2,2,22,22.4,0,0,71,72.4,13,13.3,98,100,0,0,19,19.4,40,40.8,6,6.1,13,13.3
"'022901",17,14.9,114,39,4,972,14,1.4,122,785,15.5,68,7,13,1.3,6,0.6,27,2.8,518,53.3,481,49.5,0,0,36,3.7,608,62.6,4,0.4,0,0,2,0.2,70,7.2,491,50.5,0,0,2,0.2,454,46.7,1,0.1,273,28.1,110,11.3,972,100,9,0.9,325,33.4,68,7,36,3.7,112,11.5
"'022902",0,0,3,3,5,60,1,1.7,-1,-1,12.7,0,0,0,0,0,0,2,3.3,46,76.7,32,53.3,0,0,5,8.3,43,71.7,0,0,0,0,0,0,0,0,28,46.7,0,0,0,0,14,23.3,0,0,2,3.3,3,5,60,100,0,0,16,26.7,0,0,5,8.3,3,5
"'022903",0,0,1,1,20,5,0,0,-1,-1,50,0,0,0,0,0,0,1,20,0,0,3,60,0,0,0,0,2,40,0,0,0,0,0,0,0,0,2,40,0,0,0,0,5,100,0,0,0,0,1,20,0,0,0,0,3,60,0,0,0,0,1,20
"'023902",3,15,20,8,4.3,187,1,0.5,15,174,8.6,14,7.5,0,0,0,0,11,5.9,90,48.1,90,48.1,0,0,18,9.6,75,40.1,5,2.7,0,0,1,0.5,15,8,97,51.9,5,2.7,0,0,97,51.9,0,0,48,25.7,19,10.2,187,100,0,0,110,58.8,14,7.4,18,9.6,20,10.6
"'024901",49,25.1,195,35,2.4,1435,4,0.3,118,994,11.9,29,2,1,0.1,51,3.2,24,1.7,1234,86,696,48.5,3,0.2,37,2.6,1405,97.9,18,1.3,0,0,2,0.1,31,2.2,739,51.5,28,2,0,0,201,14,0,0,831,57.9,202,14.1,1431,99.7,1,0.1,22,1.5,29,2,37,2.6,205,14.3
"'025901",14,16.1,87,81,9.7,832,4,0.5,98,646,15.2,16,1.9,19,2.3,11,1.2,76,9.1,530,63.7,389,46.8,25,3,44,5.3,225,27,0,0,0,0,1,0.1,18,2.2,443,53.2,0,0,23,2.8,302,36.3,2,0.2,222,26.7,84,10.1,577,69.4,13,1.6,568,68.3,16,1.9,44,5.3,89,10.6
"'025902",86,20.8,414,308,9,3435,22,0.6,481,2593,18.5,105,3.1,160,4.7,54,1.4,271,7.9,2029,59.1,1640,47.7,94,2.7,242,7,1465,42.6,52,1.5,0,0,8,0.2,105,3.1,1795,52.3,0,0,59,1.7,1406,40.9,0,0,1659,48.3,394,11.5,3435,100,135,3.9,1645,47.9,105,3.1,242,7,398,11.6
"'025904",3,15,20,14,9.8,143,0,0,22,130,16.9,3,2.1,3,2.1,0,0,2,1.4,83,58,67,46.9,13,9.1,2,1.4,58,40.6,0,0,0,0,0,0,3,2.1,76,53.1,0,0,6,4.2,60,42,0,0,69,48.3,19,13.3,143,100,0,0,82,57.3,3,2.1,2,1.4,19,13.3
"'025905",6,16.2,37,10,4,253,0,0,31,221,14,8,3.2,2,0.8,3,1,11,4.3,166,65.6,101,39.9,0,0,22,8.7,59,23.3,4,1.6,1,0.4,0,0,8,3.2,152,60.1,0,0,0,0,87,34.4,0,0,60,23.7,34,13.4,116,45.8,10,4,182,71.9,8,3.2,22,8.7,34,13.4
"'025906",0,0,18,18,9,199,0,0,33,199,16.6,1,0.5,1,0.5,0,0,18,9,119,59.8,98,49.2,7,3.5,9,4.5,22,11.1,0,0,0,0,0,0,1,0.5,101,50.8,0,0,2,1,80,40.2,0,0,85,42.7,23,11.6,198,99.5,14,7,162,81.4,1,0.5,9,4.5,23,11.6
"'025908",25,53.2,47,11,7,158,0,0,29,135,21.5,2,1.3,10,6.3,1,0.4,2,1.3,92,58.2,83,52.5,14,8.9,1,0.6,31,19.6,0,0,0,0,0,0,2,1.3,75,47.5,0,0,2,1.3,66,41.8,0,0,55,34.8,16,10.1,144,91.1,5,3.2,112,70.9,2,1.3,1,0.6,16,10.1
"'025909",24,19.4,124,125,11,1133,25,2.2,116,838,13.8,21,1.9,14,1.2,4,0.3,100,8.8,476,42,588,51.9,15,1.3,62,5.5,296,26.1,27,2.4,0,0,2,0.2,21,1.9,545,48.1,3,0.3,95,8.4,657,58,0,0,454,40.1,109,9.6,783,69.1,37,3.3,759,67,21,1.8,62,5.4,116,10.2
"'026901",26,15.3,170,214,12.6,1699,8,0.5,124,1243,10,189,11.1,141,8.3,18,1,114,6.7,943,55.5,827,48.7,9,0.5,84,4.9,651,38.3,12,0.7,12,0.7,4,0.2,193,11.4,872,51.3,0,0,10,0.6,756,44.5,0,0,622,36.6,158,9.3,1182,69.6,59,3.5,836,49.2,189,11.1,84,4.9,166,9.7
"'026902",6,9,67,50,9.7,516,4,0.8,73,452,16.2,61,11.8,95,18.4,20,3.3,12,2.3,369,71.5,275,53.3,0,0,15,2.9,180,34.9,0,0,0,0,0,0,47,9.1,241,46.7,7,1.4,0,0,147,28.5,0,0,306,59.3,56,10.9,332,64.3,29,5.6,208,40.3,61,11.8,15,2.9,58,11.2
"'026903",11,15.7,70,72,14.7,489,0,0,57,429,13.3,57,11.7,116,23.7,2,0.4,30,6.1,340,69.5,238,48.7,6,1.2,32,6.5,133,27.2,0,0,3,0.6,2,0.4,57,11.7,251,51.3,2,0.4,3,0.6,149,30.5,0,0,214,43.8,64,13.1,489,100,13,2.7,225,46,57,11.7,32,6.5,64,13.1
"'027903",87,16.5,527,433,14,3097,17,0.5,394,2364,16.7,274,8.8,27,0.9,54,1.6,285,9.2,1611,52,1467,47.4,23,0.7,102,3.3,1008,32.5,31,1,10,0.3,13,0.4,279,9,1630,52.6,0,0,242,7.8,1486,48,1,0,1417,45.8,449,14.5,2153,69.5,63,2,1968,63.5,275,8.8,102,3.3,465,14.9
"'027904",93,14.7,631,334,8.2,4081,39,1,565,3434,16.5,859,21,74,1.8,58,1.2,191,4.7,2771,67.9,1906,46.7,66,1.6,286,7,2007,49.2,76,1.9,58,1.4,16,0.4,864,21.2,2175,53.3,6,0.1,17,0.4,1310,32.1,8,0.2,2296,56.3,615,15.1,4027,98.7,86,2.1,1851,45.4,859,21,286,7,629,15.3
