DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTG9XC,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP,DPNTVHSC,DPNTVHSP
"034907",152,14.8,1028,2,0.2,3,0.3,150,14.6,6,0.5,97,9.4,613,59.6,492,47.9,0,0,331,74,7.2,33,3.2,56,5.4,0,0,14,1.4,3,0.3,536,52.1,0,0,7,0.7,415,40.4,0,0,516,50.2,140,13.6,1028,100,31,3,305,92.1,340,33.1,798,77.6,3,0.3,331,74,7.2,140,13.6,305,92.1
"034909",22,8,275,2,0.7,4,1.5,7,2.5,3,1,15,5.5,215,78.2,151,54.9,7,2.5,77,0,0,14,5.1,0,0,0,0,3,1.1,4,1.5,124,45.1,0,0,2,0.7,60,21.8,0,0,130,47.3,19,6.9,275,100,4,1.5,74,96.1,125,45.5,245,89.1,4,1.4,78,0,0,20,7.2,74,94.9
"035901",36,2.9,1231,6,0.5,254,20.6,17,1.4,26,2,16,1.3,882,71.6,602,48.9,3,0.2,346,63,5.1,1104,89.7,9,0.7,36,2.9,2,0.2,278,22.6,629,51.1,43,3.5,8,0.6,349,28.4,0,0,691,56.1,98,8,1231,100,4,0.3,345,99.7,355,28.8,98,8,254,20.6,346,63,5.1,100,8.1,345,99.7
"035902",2,1,207,0,0,46,22.2,0,0,5,2.3,3,1.4,183,88.4,103,49.8,0,0,49,6,2.9,195,94.2,39,18.8,0,0,0,0,46,22.2,104,50.2,25,12.1,0,0,24,11.6,0,0,132,63.8,14,6.8,207,100,1,0.5,19,38.8,58,28,11,5.3,46,22.2,49,6,2.9,14,6.8,19,38.8
"035903",12,4.8,248,0,0,2,0.8,1,0.4,0,0,15,6,41,16.5,119,48,0,0,67,3,1.2,26,10.5,0,0,0,0,3,1.2,2,0.8,129,52,0,0,0,0,207,83.5,0,0,28,11.3,16,6.5,248,100,0,0,50,74.6,107,43.1,218,87.9,2,0.8,67,3,1.2,16,6.5,50,74.6
"036901",103,7.7,1339,27,2,97,7.2,144,10.8,27,1.9,53,4,722,53.9,644,48.1,7,0.5,354,61,4.6,445,33.2,75,5.6,15,1.1,2,0.1,97,7.2,695,51.9,0,0,8,0.6,617,46.1,0,0,563,42,143,10.7,982,73.3,63,4.7,305,86.2,392,29.3,658,49.1,97,7.2,354,61,4.5,147,10.9,305,86.2
"036902",400,6.4,6242,78,1.2,225,3.6,235,3.8,81,1.3,214,3.4,1436,23,3023,48.4,7,0.1,1759,406,6.5,1595,25.6,9,0.1,33,0.5,23,0.4,225,3.6,3219,51.6,0,0,140,2.2,4806,77,2,0,1874,30,585,9.4,3062,49.1,173,2.8,774,44,1542,24.7,4136,66.3,225,3.6,1759,406,6.5,600,9.6,774,44
"036903",85,5.5,1532,13,0.8,369,24.1,122,8,22,1.4,66,4.3,1077,70.3,726,47.4,0,0,442,85,5.5,681,44.5,391,25.5,16,1,1,0.1,373,24.3,806,52.6,0,0,2,0.1,455,29.7,0,0,854,55.7,145,9.5,746,48.7,39,2.5,396,89.6,544,35.5,676,44.1,369,24,442,85,5.5,148,9.6,396,89.6
"037901",71,11.3,629,3,0.5,107,17,133,21.1,4,0.6,33,5.2,457,72.7,306,48.6,4,0.6,188,38,6,201,32,37,5.9,0,0,0,0,114,18.1,323,51.4,5,0.8,5,0.8,172,27.3,0,0,342,54.4,87,13.8,629,100,45,7.2,130,69.1,196,31.2,247,39.3,107,17,188,38,6,89,14.1,130,69.1
"037904",480,9.7,4974,23,0.5,1635,32.9,785,15.8,58,1.1,230,4.6,4017,80.8,2390,48,31,0.6,1274,322,6.5,2635,53,20,0.4,62,1.2,22,0.4,1465,29.5,2584,52,0,0,7,0.1,957,19.2,5,0.1,3364,67.6,526,10.6,4974,100,152,3.1,767,60.2,1525,30.7,1352,27.2,1636,32.9,1275,322,6.5,528,10.6,767,60.2
