DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'013902",1,7.7,13,5,1,498,1,0.2,160,304,52.6,4,0.8,62,12.4,0,0,6,1.2,438,88,245,49.2,3,0.6,0,7,1.4,351,70.5,17,3.4,0,0,0,0,4,0.8,253,50.8,0,0,30,6,60,12,3,0.6,84,16.9,27,5.4,498,100,8,1.6,0,0,0,0,73,14.7,4,0.8,7,1.4,27,5.4
"'013903",11,23.4,47,26,6.9,377,1,0.3,71,321,22.1,2,0.5,6,1.6,0,0,22,5.8,249,66,189,50.1,0,0,101,20,5.3,265,70.3,0,0,0,0,1,0.3,2,0.5,188,49.9,0,0,4,1.1,128,34,0,0,114,30.2,49,13,377,100,1,0.3,85,84.2,102,27.1,103,27.3,2,0.5,20,5.3,49,12.9
"'013905",15,15.3,98,71,9,785,5,0.6,90,637,14.1,16,2,4,0.5,7,0.8,42,5.4,472,60.1,383,48.8,1,0.1,239,64,8.2,558,71.1,17,2.2,0,0,1,0.1,17,2.2,402,51.2,0,0,53,6.8,313,39.9,1,0.1,426,54.3,79,10.1,785,100,5,0.6,227,95,289,36.8,211,26.9,16,2,64,8.1,80,10.2
"'014801",186,54.4,342,102,6.4,1590,2,0.1,918,1481,62,142,8.9,255,16,0,0,53,3.3,1543,97,804,50.6,1,0.1,1590,0,0,994,62.5,18,1.1,0,0,7,0.4,148,9.3,786,49.4,0,0,9,0.6,47,3,4,0.3,1590,100,214,13.5,1590,100,44,2.8,658,41.4,658,41.4,284,17.9,142,8.9,0,0,214,13.5
"'014803",33,25.2,131,107,12.8,836,19,2.3,346,820,42.2,52,6.2,147,17.6,0,0,60,7.2,483,57.8,396,47.4,2,0.2,158,45,5.4,279,33.4,24,2.9,4,0.5,2,0.2,51,6.1,440,52.6,0,0,50,6,353,42.2,6,0.7,397,47.5,110,13.2,836,100,67,8,72,45.6,74,8.9,316,37.8,52,6.2,45,5.4,110,13.2
"'014804",72,26.2,275,217,11.4,1900,125,6.6,370,1757,21.1,39,2.1,106,5.6,0,0,155,8.2,215,11.3,935,49.2,63,3.3,536,0,0,425,22.4,2,0.1,0,0,5,0.3,50,2.6,965,50.8,0,0,166,8.7,1685,88.7,5,0.3,764,40.2,212,11.2,189,9.9,98,5.2,341,63.6,360,18.9,1136,59.8,39,2,0,0,212,11.1
"'014901",34,16.6,205,189,10.8,1749,19,1.1,187,1221,15.3,98,5.6,109,6.2,17,0.9,79,4.5,636,36.4,861,49.2,7,0.4,494,127,7.3,409,23.4,19,1.1,6,0.3,8,0.5,104,5.9,888,50.8,1,0.1,182,10.4,1113,63.6,6,0.3,690,39.5,184,10.5,1749,100,84,4.8,420,85,421,24.1,1114,63.7,98,5.6,127,7.2,194,11
"'014902",7,14.9,47,21,5.3,394,2,0.5,44,356,12.4,88,22.3,42,10.7,3,0.7,19,4.8,348,88.3,173,43.9,0,0,113,2,0.5,236,59.9,7,1.8,0,0,1,0.3,87,22.1,221,56.1,0,0,1,0.3,46,11.7,0,0,189,48,39,9.9,394,100,10,2.5,94,83.2,111,28.2,103,26.1,88,22.3,2,0.5,39,9.9
"'014903",298,14.6,2041,1689,12.7,13298,235,1.8,1464,9479,15.4,855,6.4,971,7.3,116,0.9,831,6.2,5351,40.2,6534,49.1,50,0.4,4146,1093,8.2,4609,34.7,166,1.2,55,0.4,57,0.4,839,6.3,6764,50.9,0,0,3079,23.2,7947,59.8,55,0.4,6762,50.8,2057,15.5,2881,21.7,779,5.9,2962,71.4,2971,22.3,6592,49.6,855,6.4,1093,8.2,2084,15.6
"'014905",8,10.4,77,85,13,656,0,0,34,503,6.8,14,2.1,15,2.3,2,0.3,63,9.6,285,43.4,310,47.3,3,0.5,210,50,7.6,171,26.1,1,0.2,0,0,0,0,14,2.1,346,52.7,0,0,8,1.2,371,56.6,0,0,223,34,76,11.6,401,61.1,17,2.6,179,85.2,223,34,453,69.1,14,2.1,50,7.6,77,11.7
