DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'111801",28,93.3,30,5,9.8,51,1,2,68,68,100,4,7.8,7,13.7,0,0,0,0,51,100,7,13.7,0,0,49,0,0,22,43.1,0,0,0,0,0,0,6,11.8,44,86.3,0,0,0,0,0,0,0,0,51,100,7,13.7,50,98,1,2,7,14.3,8,15.7,20,39.2,4,7.8,0,0,7,13.7
"'111901",259,22.6,1148,874,11.3,7712,69,0.9,937,5434,17.2,749,9.7,100,1.3,110,1.3,635,8.2,4014,52,3685,47.8,26,0.3,2129,633,8.2,2021,26.2,93,1.2,54,0.7,26,0.3,761,9.9,4027,52.2,1,0,143,1.9,3698,48,23,0.3,3407,44.2,1113,14.4,7670,99.5,228,3,1737,81.6,2149,27.9,5245,68,749,9.7,633,8.2,1128,14.6
"'111902",6,15.8,38,39,8.7,447,0,0,43,355,12.1,15,3.4,1,0.2,0,0,18,4,228,51,214,47.9,2,0.4,137,15,3.4,53,11.9,1,0.2,0,0,0,0,14,3.1,233,52.1,0,0,6,1.3,219,49,1,0.2,169,37.8,40,8.9,447,100,7,1.6,124,90.5,130,29.1,385,86.1,15,3.3,15,3.3,41,9.2
"'111903",14,20,70,77,9.1,847,1,0.1,70,638,11,2,0.2,9,1.1,7,0.8,50,5.9,384,45.3,421,49.7,1,0.1,252,30,3.5,60,7.1,0,0,1,0.1,3,0.4,1,0.1,426,50.3,0,0,38,4.5,463,54.7,3,0.4,219,25.9,77,9.1,847,100,14,1.7,236,93.7,238,28.1,757,89.4,2,0.2,30,3.5,81,9.5
"'112901",96,15.4,624,666,15.4,4329,36,0.8,360,2937,12.3,730,16.9,434,10,55,1.2,317,7.3,2583,59.7,2111,48.8,22,0.5,1242,230,5.3,1287,29.7,47,1.1,11,0.3,16,0.4,643,14.9,2218,51.2,0,0,14,0.3,1746,40.3,8,0.2,2456,56.7,637,14.7,2070,47.8,208,4.8,1073,86.4,1158,26.7,2340,54.1,730,16.8,230,5.3,647,14.9
"'112905",11,15.9,69,54,12.4,435,0,0,47,365,12.9,21,4.8,5,1.1,2,0.4,56,12.9,260,59.8,226,52,3,0.7,134,13,3,56,12.9,8,1.8,0,0,9,2.1,23,5.3,209,48,0,0,0,0,175,40.2,0,0,115,26.4,66,15.2,435,100,14,3.2,112,83.6,142,32.6,351,80.7,21,4.8,13,3,66,15.2
"'112906",11,13.9,79,61,11.4,535,0,0,49,460,10.7,71,13.3,1,0.2,17,2.8,36,6.7,333,62.2,270,50.5,10,1.9,151,42,7.9,126,23.6,6,1.1,0,0,11,2.1,75,14,265,49.5,0,0,2,0.4,202,37.8,1,0.2,255,47.7,64,12,535,100,25,4.7,134,88.7,149,27.9,371,69.3,71,13.3,42,7.9,64,12
"'112907",8,26.7,30,31,10.4,299,1,0.3,49,289,17,16,5.4,0,0,2,0.6,25,8.4,160,53.5,154,51.5,0,0,78,2,0.7,51,17.1,18,6,1,0.3,0,0,16,5.4,145,48.5,0,0,8,2.7,139,46.5,1,0.3,111,37.1,34,11.4,299,100,4,1.3,60,76.9,83,27.8,242,80.9,16,5.4,2,0.7,34,11.4
"'112908",25,20,125,85,11.7,724,5,0.7,88,659,13.4,168,23.2,11,1.5,8,1,48,6.6,473,65.3,351,48.5,6,0.8,213,33,4.6,308,42.5,10,1.4,7,1,4,0.6,171,23.6,373,51.5,4,0.6,28,3.9,251,34.7,0,0,443,61.2,121,16.7,724,100,14,1.9,190,89.2,204,28.2,382,52.8,168,23.2,33,4.6,121,16.7
"'112909",15,33.3,45,31,12.7,244,0,0,46,238,19.3,35,14.3,9,3.7,0,0,7,2.9,145,59.4,125,51.2,2,0.8,64,7,2.9,71,29.1,0,0,3,1.2,0,0,35,14.3,119,48.8,0,0,0,0,99,40.6,0,0,87,35.7,32,13.1,244,100,4,1.6,57,89.1,57,23.4,160,65.6,35,14.3,7,2.9,32,13.1
"'112910",4,11.8,34,28,13.9,202,0,0,36,203,17.7,9,4.5,5,2.5,4,1.7,26,12.9,91,45,96,47.5,3,1.5,77,10,5,27,13.4,0,0,0,0,0,0,10,5,106,52.5,0,0,3,1.5,111,55,0,0,101,50,28,13.9,202,100,4,2,73,94.8,102,50.5,166,82.2,9,4.4,10,4.9,29,14.3
"'113901",28,16.7,168,129,10.8,1190,8,0.7,153,906,16.9,230,19.3,568,47.7,44,3.2,75,6.3,1101,92.5,594,49.9,3,0.3,370,55,4.6,404,33.9,11,0.9,0,0,4,0.3,229,19.2,596,50.1,5,0.4,1,0.1,89,7.5,1,0.1,559,47,143,12,1190,100,47,3.9,311,84.1,364,30.6,158,13.3,230,19.3,55,4.6,143,12
"'113902",13,14,93,27,4.3,631,10,1.6,74,496,14.9,5,0.8,127,20.1,3,0.4,36,5.7,403,63.9,277,43.9,1,0.2,170,26,4.1,59,9.4,0,0,0,0,0,0,5,0.8,354,56.1,0,0,12,1.9,228,36.1,0,0,88,13.9,94,14.9,320,50.7,22,3.5,148,87.1,154,24.4,413,65.5,5,0.8,26,4.1,95,15
"'113903",8,11.3,71,58,11.5,504,2,0.4,47,442,10.6,4,0.8,49,9.7,3,0.5,44,8.7,267,53,253,50.2,3,0.6,148,30,6,64,12.7,0,0,0,0,1,0.2,4,0.8,251,49.8,3,0.6,0,0,237,47,0,0,121,24,74,14.7,271,53.8,14,2.8,120,81.1,202,40.1,374,74.2,4,0.8,30,6,74,14.7
"'113905",7,10.8,65,46,9.4,488,8,1.6,62,399,15.5,24,4.9,5,1,8,1.6,30,6.1,236,48.4,253,51.8,0,0,137,35,7.2,79,16.2,1,0.2,0,0,0,0,25,5.1,235,48.2,0,0,30,6.1,252,51.6,0,0,210,43,63,12.9,487,99.8,10,2,117,85.4,174,35.7,386,79.1,24,4.9,35,7.2,64,13.1
"'113906",3,7.3,41,20,8.1,246,0,0,28,204,13.7,3,1.2,28,11.4,3,1.2,20,8.1,152,61.8,139,56.5,0,0,65,22,8.9,18,7.3,8,3.3,0,0,0,0,1,0.4,107,43.5,0,0,4,1.6,94,38.2,1,0.4,122,49.6,39,15.9,246,100,11,4.5,48,73.8,86,35,188,76.4,3,1.2,22,8.9,40,16.2
"'114901",73,12,606,195,5.4,3629,34,0.9,335,2022,16.6,214,5.9,191,5.3,88,2.2,207,5.7,2684,74,1757,48.4,15,0.4,1100,164,4.5,2418,66.6,43,1.2,8,0.2,8,0.2,227,6.3,1872,51.6,3,0.1,69,1.9,945,26,7,0.2,2403,66.2,588,16.2,3506,96.6,108,3,888,80.7,1149,31.7,863,23.8,214,5.9,164,4.5,593,16.3
"'114902",14,12.1,116,78,7.2,1084,4,0.4,121,829,14.6,29,2.7,8,0.7,14,1.2,64,5.9,410,37.8,558,51.5,0,0,260,56,5.2,462,42.6,0,0,0,0,3,0.3,31,2.9,526,48.5,0,0,0,0,674,62.2,0,0,471,43.5,115,10.6,544,50.2,15,1.4,222,85.4,351,32.4,592,54.6,29,2.7,56,5.2,117,10.8
"'114904",13,18.6,70,66,8.6,764,19,2.5,87,686,12.7,18,2.4,8,1,17,2,52,6.8,258,33.8,360,47.1,0,0,227,51,6.7,262,34.3,3,0.4,2,0.3,2,0.3,18,2.4,404,52.9,0,0,5,0.7,506,66.2,0,0,318,41.6,59,7.7,366,47.9,12,1.6,208,91.6,208,27.2,461,60.3,18,2.3,51,6.6,64,8.3
"'115901",2,4.9,41,10,2.5,400,1,0.3,33,321,10.3,293,73.3,2,0.5,0,0,13,3.3,353,88.3,192,48,0,0,127,24,6,386,96.5,0,0,10,2.5,0,0,239,59.8,208,52,15,3.8,1,0.3,47,11.8,0,0,306,76.5,38,9.5,399,99.8,3,0.8,95,74.8,107,26.8,8,2,293,73.3,24,6,38,9.5
"'115902",4,16.7,24,0,0,118,1,0.8,28,113,24.8,3,2.5,4,3.4,0,0,5,4.2,91,77.1,57,48.3,0,0,36,0,0,84,71.2,0,0,0,0,0,0,3,2.5,61,51.7,0,0,0,0,27,22.9,0,0,10,8.5,19,16.1,118,100,1,0.8,34,94.4,39,33.1,28,23.7,3,2.5,0,0,19,16.1
"'115903",0,0,7,0,0,66,0,0,16,69,23.2,16,24.2,1,1.5,0,0,0,0,51,77.3,30,45.5,0,0,14,5,7.6,45,68.2,0,0,0,0,0,0,16,24.2,36,54.5,5,7.6,0,0,15,22.7,0,0,18,27.3,10,15.2,66,100,2,3,10,71.4,10,15.2,18,27.3,19,27.1,6,8.6,10,14.3
"'116901",40,14.6,274,326,14.6,2227,8,0.4,151,1534,9.8,107,4.8,54,2.4,24,1.1,276,12.4,779,35,1093,49.1,8,0.4,591,79,3.5,454,20.4,10,0.4,8,0.4,8,0.4,108,4.8,1134,50.9,0,0,39,1.8,1448,65,0,0,774,34.8,312,14,1094,49.1,63,2.8,547,92.6,895,40.2,1640,73.6,107,4.8,79,3.5,317,14.2
"'116902",7,9.2,76,39,8.1,483,0,0,65,391,16.6,27,5.6,12,2.5,10,1.9,47,9.7,266,55.1,219,45.3,0,0,148,23,4.8,100,20.7,2,0.4,0,0,4,0.8,27,5.6,264,54.7,0,0,13,2.7,217,44.9,0,0,143,29.6,75,15.5,336,69.6,22,4.6,130,87.8,130,26.9,345,71.4,27,5.6,23,4.7,76,15.7
"'116903",49,19.7,249,140,9.7,1440,19,1.3,216,1036,20.8,155,10.8,364,25.3,22,1.3,97,6.7,1024,71.1,750,52.1,6,0.4,447,84,5.8,314,21.8,8,0.6,8,0.6,9,0.6,155,10.8,690,47.9,0,0,40,2.8,416,28.9,17,1.2,839,58.3,228,15.8,667,46.3,84,5.8,366,81.9,534,37.1,633,44,155,10.7,84,5.8,229,15.9
"'116905",131,17.5,750,556,10.5,5320,49,0.9,702,3654,19.2,1329,25,871,16.4,29,0.5,373,7,3990,75,2545,47.8,7,0.1,1511,438,8.2,2498,47,33,0.6,37,0.7,16,0.3,1302,24.5,2775,52.2,0,0,155,2.9,1330,25,14,0.3,3131,58.9,744,14,3626,68.2,298,5.6,1238,81.9,1533,28.8,1574,29.6,1329,25,438,8.2,749,14.1
"'116906",52,27.5,189,124,12.1,1025,6,0.6,100,743,13.5,35,3.4,23,2.2,5,0.5,70,6.8,494,48.2,501,48.9,30,2.9,323,76,7.4,140,13.7,1,0.1,0,0,7,0.7,35,3.4,524,51.1,0,0,5,0.5,531,51.8,4,0.4,350,34.1,169,16.5,441,43,30,2.9,306,94.7,307,30,815,79.5,35,3.4,76,7.4,171,16.7
"'116908",97,23.6,411,226,8.8,2575,7,0.3,321,1864,17.2,439,17,19,0.7,74,2.6,154,6,1897,73.7,1250,48.5,25,1,739,88,3.4,924,35.9,34,1.3,14,0.5,13,0.5,444,17.2,1325,51.5,0,0,18,0.7,678,26.3,10,0.4,1384,53.7,384,14.9,673,26.1,73,2.8,600,81.2,791,30.7,1529,59.4,439,17,88,3.4,386,15
"'116909",14,16.3,86,96,13.7,701,2,0.3,41,503,8.2,58,8.3,29,4.1,1,0.1,65,9.3,371,52.9,309,44.1,1,0.1,219,53,7.6,143,20.4,1,0.1,0,0,4,0.6,58,8.3,392,55.9,0,0,11,1.6,330,47.1,0,0,258,36.8,83,11.8,326,46.5,8,1.1,199,90.9,199,28.4,515,73.5,58,8.3,53,7.5,85,12.1
"'116910",13,17.8,73,22,7.3,303,4,1.3,39,239,16.3,39,12.9,2,0.7,0,0,13,4.3,191,63,137,45.2,0,0,95,12,4,95,31.4,0,0,0,0,0,0,41,13.5,166,54.8,0,0,14,4.6,112,37,0,0,114,37.6,69,22.8,147,48.5,6,2,34,35.8,55,18.2,196,64.7,39,12.9,12,4,69,22.8
"'116915",9,8.8,102,62,8.1,761,2,0.3,60,565,10.6,152,20,9,1.2,8,1,37,4.9,388,51,386,50.7,0,0,223,61,8,338,44.4,11,1.4,0,0,9,1.2,152,20,375,49.3,0,0,5,0.7,373,49,1,0.1,354,46.5,114,15,538,70.7,7,0.9,211,94.6,212,27.9,395,51.9,152,20,61,8,114,15
"'116916",15,18.5,81,72,13.6,529,5,0.9,41,379,10.8,25,4.7,15,2.8,13,2.4,50,9.5,527,99.6,253,47.8,0,0,168,33,6.2,102,19.3,44,8.3,1,0.2,4,0.8,30,5.7,276,52.2,0,0,39,7.4,2,0.4,0,0,244,46.1,77,14.6,529,100,17,3.2,127,75.6,128,24.2,386,73,25,4.7,33,6.2,77,14.6
"'117901",65,18.2,357,203,8.1,2493,17,0.7,159,1453,10.9,253,10.1,58,2.3,95,3.6,192,7.7,1370,55,1233,49.5,18,0.7,789,130,5.2,1184,47.5,0,0,8,0.3,23,0.9,277,11.1,1260,50.5,0,0,18,0.7,1123,45,0,0,1218,48.9,336,13.5,1702,68.3,96,3.9,547,69.3,549,22,1115,44.7,253,10.1,130,5.2,340,13.6
"'117903",11,10.3,107,31,4.5,692,3,0.4,61,539,11.3,4,0.6,7,1,3,0.4,35,5.1,280,40.5,330,47.7,8,1.2,213,26,3.8,68,9.8,8,1.2,0,0,5,0.7,4,0.6,362,52.3,0,0,6,0.9,412,59.5,0,0,309,44.7,103,14.9,311,44.9,27,3.9,159,74.6,159,23,582,84.1,4,0.6,26,3.8,103,14.9
"'117904",9,8.6,105,55,8.9,621,0,0,66,496,13.3,7,1.1,0,0,0,0,66,10.6,282,45.4,292,47,0,0,178,44,7.1,141,22.7,13,2.1,0,0,7,1.1,8,1.3,329,53,0,0,6,1,339,54.6,1,0.2,247,39.8,106,17.1,621,100,36,5.8,101,56.7,118,19,436,70.2,7,1.1,44,7.1,106,17.1
"'117907",4,25,16,9,9.4,96,0,0,26,106,24.5,6,6.3,3,3.1,0,0,10,10.4,42,43.8,51,53.1,0,0,13,5,5.2,32,33.3,0,0,0,0,0,0,6,6.3,45,46.9,0,0,6,6.3,54,56.3,0,0,10,10.4,13,13.5,96,100,6,6.3,6,46.2,6,6.3,55,57.3,6,6.1,5,5.1,13,13.1
"'118902",2,5.9,34,34,10.2,334,1,0.3,20,281,7.1,6,1.8,5,1.5,6,1.8,19,5.7,130,38.9,169,50.6,0,0,90,32,9.6,89,26.6,17,5.1,0,0,0,0,6,1.8,165,49.4,0,0,9,2.7,204,61.1,0,0,103,30.8,41,12.3,334,100,6,1.8,70,77.8,106,31.7,233,69.8,6,1.8,32,9.6,41,12.3
"'119901",6,18.8,32,25,9.9,252,0,0,39,237,16.5,8,3.2,0,0,0,0,16,6.3,148,58.7,142,56.3,0,0,81,8,3.2,29,11.5,0,0,2,0.8,3,1.2,8,3.2,110,43.7,0,0,0,0,104,41.3,0,0,77,30.6,25,9.9,252,100,6,2.4,77,95.1,77,30.6,214,84.9,8,3.2,8,3.2,25,9.9
"'119902",15,10.6,141,134,12.4,1077,6,0.6,79,833,9.5,161,14.9,10,0.9,6,0.5,132,12.3,739,68.6,480,44.6,4,0.4,319,67,6.2,356,33.1,18,1.7,4,0.4,3,0.3,162,15,597,55.4,0,0,27,2.5,338,31.4,1,0.1,586,54.4,149,13.8,762,70.8,25,2.3,294,92.2,369,34.3,676,62.8,161,14.9,67,6.2,150,13.9
"'119903",15,27.8,54,25,7.8,322,0,0,46,264,17.4,7,2.2,0,0,0,0,25,7.8,166,51.6,139,43.2,0,0,96,19,5.9,58,18,10,3.1,0,0,0,0,8,2.5,183,56.8,0,0,2,0.6,156,48.4,0,0,129,40.1,45,14,164,50.9,6,1.9,87,90.6,122,37.9,258,80.1,7,2.2,19,5.9,45,14
"'120901",47,22.6,208,114,7.4,1549,38,2.5,147,1161,12.7,146,9.4,188,12.1,20,1.2,69,4.5,948,61.2,734,47.4,1,0.1,452,121,7.8,677,43.7,33,2.1,3,0.2,0,0,154,9.9,815,52.6,5,0.3,9,0.6,601,38.8,0,0,851,54.9,187,12.1,1549,100,50,3.2,376,83.2,377,24.3,596,38.5,146,9.4,121,7.8,196,12.6
"'120902",10,16.4,61,72,9.8,736,0,0,28,549,5.1,79,10.7,15,2,9,1.2,23,3.1,414,56.3,403,54.8,3,0.4,213,55,7.5,435,59.1,0,0,0,0,1,0.1,79,10.7,333,45.2,2,0.3,1,0.1,322,43.8,0,0,335,45.5,58,7.9,351,47.7,8,1.1,200,93.9,248,33.7,277,37.6,79,10.7,55,7.5,60,8.1
"'120905",12,10,120,140,12.1,1156,0,0,111,911,12.2,21,1.8,12,1,9,0.7,102,8.8,372,32.2,575,49.7,0,0,369,93,8,343,29.7,0,0,0,0,1,0.1,21,1.8,581,50.3,3,0.3,1,0.1,784,67.8,0,0,305,26.4,102,8.8,533,46.1,16,1.4,309,83.7,478,41.3,784,67.8,21,1.8,93,8,104,9
"'121902",7,14.9,47,63,17.1,369,0,0,47,323,14.6,0,0,5,1.4,13,3.2,71,19.2,187,50.7,176,47.7,4,1.1,103,0,0,10,2.7,0,0,0,0,0,0,0,0,193,52.3,0,0,10,2.7,182,49.3,0,0,104,28.2,47,12.7,369,100,11,3,93,90.3,93,25.2,343,93,0,0,0,0,47,12.7
"'121903",43,20.4,211,219,14.8,1483,2,0.1,173,1166,14.8,7,0.5,52,3.5,11,0.7,93,6.3,682,46,743,50.1,6,0.4,437,102,6.9,54,3.6,13,0.9,1,0.1,4,0.3,7,0.5,740,49.9,0,0,21,1.4,801,54,0,0,788,53.1,196,13.2,681,45.9,49,3.3,326,74.6,547,36.9,1322,89.1,7,0.5,102,6.9,202,13.6
"'121904",42,13.6,308,338,15.6,2166,8,0.4,213,1535,13.9,192,8.9,871,40.2,85,3.5,83,3.8,1734,80.1,1064,49.1,5,0.2,701,104,4.8,408,18.8,108,5,11,0.5,5,0.2,205,9.5,1102,50.9,2,0.1,28,1.3,432,19.9,1,0,1703,78.6,293,13.5,2166,100,96,4.4,606,86.4,765,35.3,777,35.9,193,8.9,104,4.8,301,13.8
"'121905",29,14.1,206,208,14.3,1450,2,0.1,131,1105,11.9,29,2,124,8.6,15,1,58,4,1003,69.2,689,47.5,19,1.3,381,92,6.3,113,7.8,21,1.4,0,0,4,0.3,29,2,761,52.5,1,0.1,12,0.8,447,30.8,1,0.1,625,43.1,213,14.7,715,49.3,81,5.6,321,84.3,444,30.6,1125,77.6,29,2,92,6.3,214,14.7
"'121906",11,16.9,65,44,11.1,397,0,0,39,297,13.1,7,1.8,0,0,7,1.6,29,7.3,158,39.8,200,50.4,0,0,120,0,0,14,3.5,0,0,0,0,0,0,7,1.8,197,49.6,0,0,0,0,239,60.2,0,0,135,34,47,11.8,188,47.4,17,4.3,107,89.2,137,34.5,366,92.2,7,1.8,0,0,47,11.8
"'122901",4,12.9,31,5,2.8,176,0,0,31,184,16.8,19,10.8,0,0,0,0,7,4,91,51.7,88,50,0,0,64,21,11.9,109,61.9,0,0,10,5.7,0,0,19,10.8,88,50,0,0,0,0,85,48.3,0,0,102,58,23,13.1,176,100,6,3.4,43,67.2,51,29,61,34.7,19,10.7,21,11.8,25,14
"'122902",3,50,6,0,0,35,2,5.7,7,33,21.2,5,14.3,0,0,0,0,2,5.7,21,60,13,37.1,0,0,9,1,2.9,22,62.9,0,0,0,0,0,0,5,14.3,22,62.9,0,0,0,0,14,40,0,0,10,28.6,4,11.4,34,97.1,0,0,5,55.6,8,22.9,11,31.4,5,13.9,1,2.8,5,13.9
"'123803",0,0,12,2,0.5,366,0,0,158,367,43.1,0,0,326,89.1,0,0,0,0,331,90.4,205,56,0,0,71,0,0,32,8.7,4,1.1,0,0,1,0.3,0,0,161,44,0,0,0,0,35,9.6,0,0,171,46.7,7,1.9,363,99.2,2,0.5,43,60.6,60,16.4,5,1.4,0,0,0,0,7,1.9
"'123805",5,9.8,51,22,4.3,507,3,0.6,34,449,7.6,297,58.6,65,12.8,0,0,27,5.3,445,87.8,270,53.3,5,1,0,21,4.1,406,80.1,0,0,8,1.6,0,0,298,58.8,237,46.7,0,0,2,0.4,62,12.2,0,0,392,77.3,48,9.5,507,100,4,0.8,0,0,1,0.2,29,5.7,297,58.6,21,4.1,48,9.5
"'123807",18,16.1,112,38,1.6,2362,9,0.4,510,2066,24.7,1659,70.2,499,21.1,0,0,29,1.2,2070,87.6,1249,52.9,2,0.1,485,0,0,1794,76,0,0,11,0.5,6,0.3,1068,45.2,1113,47.1,44,1.9,4,0.2,292,12.4,2,0.1,1350,57.2,89,3.8,2355,99.7,26,1.1,361,74.4,515,21.8,26,1.1,1659,70.2,0,0,89,3.8
"'123905",70,11.1,629,481,9.7,4983,354,7.1,587,3911,15,530,10.6,417,8.4,73,1.4,258,5.2,2281,45.8,2436,48.9,16,0.3,1448,285,5.7,1442,28.9,13,0.3,24,0.5,22,0.4,560,11.2,2547,51.1,9,0.2,73,1.5,2702,54.2,7,0.1,1945,39,614,12.3,2136,42.9,149,3,1120,77.3,1122,22.5,2592,52,530,10.6,285,5.7,625,12.5
"'123907",139,16.5,840,502,6.4,7840,215,2.7,1147,6182,18.6,2062,26.3,3220,41.1,11,0.1,252,3.2,6633,84.6,3749,47.8,11,0.1,1987,277,3.5,3945,50.3,65,0.8,146,1.9,170,2.2,2214,28.2,4091,52.2,253,3.2,4,0.1,1207,15.4,2,0,4090,52.2,807,10.3,7311,93.3,89,1.1,1476,74.3,1979,25.2,199,2.5,2063,25.8,277,3.5,813,10.2
"'123908",78,14.3,544,360,6.9,5186,291,5.6,300,3412,8.8,385,7.4,205,4,60,1.1,163,3.1,2043,39.4,2550,49.2,3,0.1,1594,382,7.4,1542,29.7,5,0.1,79,1.5,10,0.2,391,7.5,2636,50.8,15,0.3,1,0,3143,60.6,1,0,2227,42.9,553,10.7,1896,36.6,163,3.1,1359,85.3,1360,26.2,2974,57.3,385,7.4,382,7.4,562,10.8
"'123910",338,20.5,1650,1169,7,16729,488,2.9,3121,13320,23.4,2294,13.7,9969,59.6,76,0.4,744,4.4,13658,81.6,8301,49.6,101,0.6,4827,1236,7.4,4431,26.5,376,2.2,326,1.9,45,0.3,2349,14,8428,50.4,0,0,134,0.8,3071,18.4,17,0.1,9492,56.7,1533,9.2,16532,98.8,398,2.4,3780,78.3,4045,24.2,1381,8.3,2300,13.7,1236,7.4,1547,9.2
"'123913",1,10,10,23,6.3,365,7,1.9,44,356,12.4,5,1.4,90,24.7,1,0.3,5,1.4,188,51.5,185,50.7,0,0,121,21,5.8,147,40.3,6,1.6,0,0,0,0,7,1.9,180,49.3,0,0,0,0,177,48.5,0,0,14,3.8,11,3,365,100,6,1.6,109,90.1,110,30.1,115,31.5,5,1.4,21,5.8,11,3
"'123914",20,10.3,194,158,8.1,1953,30,1.5,133,1313,10.1,106,5.4,195,10,7,0.3,60,3.1,747,38.2,945,48.4,9,0.5,604,143,7.3,403,20.6,21,1.1,0,0,7,0.4,113,5.8,1008,51.6,0,0,53,2.7,1206,61.8,2,0.1,826,42.3,219,11.2,748,38.3,36,1.8,550,91.1,602,30.8,1280,65.5,106,5.4,143,7.3,220,11.3
"'124901",4,3.7,109,64,5.9,1076,3,0.3,87,917,9.5,62,5.8,3,0.3,7,0.6,23,2.1,939,87.3,515,47.9,0,0,331,122,11.3,1047,97.3,2,0.2,0,0,1,0.1,76,7.1,561,52.1,0,0,35,3.3,137,12.7,0,0,683,63.5,114,10.6,1068,99.3,3,0.3,290,87.6,313,29.1,19,1.8,62,5.8,122,11.3,116,10.8
"'125901",55,9.9,555,417,9.6,4359,14,0.3,782,2819,27.7,106,2.4,19,0.4,32,0.6,231,5.3,3690,84.7,2110,48.4,20,0.5,1295,115,2.6,4016,92.1,171,3.9,14,0.3,2,0,116,2.7,2249,51.6,15,0.3,47,1.1,669,15.3,0,0,2202,50.5,565,13,4359,100,14,0.3,1094,84.5,1569,36,294,6.7,106,2.4,115,2.6,575,13.2
"'125902",6,10.7,56,31,6.3,495,0,0,85,447,19,15,3,0,0,1,0.2,31,6.3,397,80.2,240,48.5,0,0,168,18,3.6,464,93.7,0,0,0,0,0,0,15,3,255,51.5,0,0,2,0.4,98,19.8,0,0,236,47.7,53,10.7,495,100,1,0.2,145,86.3,145,29.3,30,6.1,15,3,18,3.6,55,11.1
"'125903",34,14.3,238,141,8,1770,4,0.2,176,1345,13.1,45,2.5,2,0.1,64,3.3,73,4.1,1061,59.9,852,48.1,3,0.2,556,95,5.4,1088,61.5,5,0.3,6,0.3,2,0.1,45,2.5,918,51.9,6,0.3,21,1.2,709,40.1,0,0,793,44.8,212,12,1770,100,17,1,463,83.3,624,35.3,657,37.1,45,2.5,95,5.4,215,12.1
"'125905",12,9.2,130,63,9.1,695,1,0.1,85,618,13.8,47,6.8,1,0.1,15,1.9,49,7.1,641,92.2,323,46.5,0,0,192,25,3.6,678,97.6,0,0,7,1,1,0.1,49,7.1,372,53.5,7,1,6,0.9,54,7.8,0,0,447,64.3,143,20.6,694,99.9,0,0,157,81.8,280,40.3,14,2,48,6.6,25,3.4,147,20.1
"'125906",0,0,8,0,0,94,0,0,25,92,27.2,0,0,0,0,0,0,0,0,54,57.4,47,50,0,0,0,2,2.1,89,94.7,0,0,0,0,0,0,0,0,47,50,0,0,0,0,40,42.6,0,0,1,1.1,11,11.7,94,100,0,0,0,0,0,0,5,5.3,0,0,2,2.1,11,11.7
"'126901",62,18.3,339,277,7.7,3595,7,0.2,279,2009,13.9,814,22.6,91,2.5,100,2.6,105,2.9,2091,58.2,1697,47.2,7,0.2,1176,255,7.1,1638,45.6,35,1,11,0.3,21,0.6,822,22.9,1898,52.8,4,0.1,19,0.5,1504,41.8,2,0.1,1671,46.5,353,9.8,2419,67.3,107,3,769,65.4,828,23,1729,48.1,816,22.6,255,7.1,365,10.1
"'126902",189,12.7,1486,1212,9.5,12693,181,1.4,1748,9808,17.8,852,6.7,990,7.8,105,0.8,823,6.5,4113,32.4,6152,48.5,58,0.5,4165,786,6.2,3409,26.9,67,0.5,39,0.3,45,0.4,910,7.2,6541,51.5,0,0,1719,13.5,8580,67.6,24,0.2,4891,38.5,1436,11.3,4961,39.1,612,4.8,3024,72.6,3395,26.7,7432,58.6,853,6.7,786,6.2,1481,11.6
"'126903",160,18.6,861,542,7.7,7036,26,0.4,873,5412,16.1,1670,23.7,257,3.7,162,2.2,470,6.7,4952,70.4,3439,48.9,21,0.3,2013,533,7.6,3004,42.7,136,1.9,64,0.9,44,0.6,1569,22.3,3597,51.1,3,0,130,1.8,2084,29.6,174,2.5,3939,56,821,11.7,5041,71.6,281,4,1681,83.5,1688,24,3250,46.2,1671,23.6,535,7.6,852,12.1
"'126904",13,9.9,131,104,7.6,1364,5,0.4,94,1057,8.9,75,5.5,19,1.4,3,0.2,67,4.9,534,39.1,606,44.4,5,0.4,427,86,6.3,258,18.9,0,0,0,0,9,0.7,76,5.6,758,55.6,0,0,10,0.7,830,60.9,0,0,365,26.8,172,12.6,937,68.7,43,3.2,389,91.1,418,30.6,1030,75.5,75,5.5,86,6.3,180,13.1
